character,text,gender
MIRANDA, And to do what with it?,female
MIRANDA, And if we can’t?,female
MIRANDA, Destroy the world’s best chance for a sustainable future?,female
MIRANDA," Bruce, if you want to save the world you have to start trusting it.",female
MIRANDA, Doesn’t count. You have no choice.,female
MIRANDA, Do you have keys?,female
MIRANDA, Let’s find a window.,female
MIRANDA," Fox worked the board like you’ve never seen - I’m in, Daggett’s out and he’s not happy.",female
MIRANDA, Suffering builds character.,female
MIRANDA," I’ll take care of your parents’ legacy, Bruce.",female
MIRANDA, Who’s this?,female
MIRANDA, Where’s Alfred?,female
MIRANDA, What’s that?,female
MIRANDA," When I was a child we had almost nothing. But on the nights we had a fire, we felt very rich indeed.",female
MIRANDA, Not always. Not when I was young. a scar on her shoulder.,female
MIRANDA, An old mistake.,female
MIRANDA, More than a few... (Smiles.) We could leave. Tonight. Take my plane. Go anywhere we wanted.,female
MIRANDA, Bruce got a lot of things right. Keeping the board in the dark wasn’t one of them...,female
MIRANDA," Alright, stop.",female
MIRANDA," Lucius, you’ll kill this man and yourself, and barely slow them down.",female
MIRANDA," And as CEO of Wayne Enterprises, I have to take responsibility for it.",female
MIRANDA," Because, Captain, we built it.",female
MIRANDA," How about me, instead?",female
MIRANDA, My company built it.,female
MIRANDA, And he wanted to destroy it. It was me who didn’t listen. Please.,female
MIRANDA, Bruce?,female
MIRANDA, Do what’s necessary.,female
MIRANDA, I know.,female
MIRANDA," I am. And though I am not ’ordinary’, I am a citizen...",female
DAGGETT," Everyone knows Wayne’s holed up in there with eight-inch nails, peeing into Mason jars. (To Alfred.) Good of you to let me on the grounds.",male
DAGGETT, Why waste your time talking to the man who threw away your investment on some save-the-world vanity project? He can’t help you get your money back. But I can.,male
DAGGETT, After eight years he has to pick tonight...,male
DAGGETT, What about the men they arrested?,male
DAGGETT, Where does he find these guys? Open the champagne...,male
DAGGETT, And can we get some girls in here?,male
DAGGETT, You dumb bitch.,male
DAGGETT, Dumb to show up here tonight.,male
DAGGETT, ’I want’ never gets...,male
DAGGETT, Where’s what?,male
DAGGETT," Oh, yeah - the ultimate tool for a master thief with a record. I don’t have it.",male
DAGGETT, The ’Clean Slate’? Type in a name and date of birth and within a couple hours that person ceases to exist in any database? Little too good to be true.,male
DAGGETT, That’s why I bought them. But they had nothing. It was a gangland myth.,male
DAGGETT," I’d like to point out that we have a non-board member here. Highly irregular, even if it is his family name above the door...",male
DAGGETT," Into the ground, sir. Anybody disagree? Check the value of your shares this morning. Gambling on crazy futures didn’t just lose Mr. Wayne his seat, it’s lost us all a lot of money. He needs to leave.",male
DAGGETT, Let’s get down to business.,male
DAGGETT, How the hell did Miranda Tate get the inside track on the Wayne board?! Was she meeting with Wayne? Was she sleeping with Wayne?,male
DAGGETT," Clearly you don’t ’know of’ anything, do you?! Where’s Bane?!",male
DAGGETT, Then where is the masked -,male
DAGGETT, What the hell’s going on?,male
DAGGETT," You see me running Wayne Enterprises?! (Moves towards Bane.) Your stock exchange hit didn’t work, friend. And now you’ve got my construction crews working all hours around the city? How’s that supposed to help my company absorb Wayne’s?",male
DAGGETT, You stay right there! I’m in charge!,male
DAGGETT, I’ve paid you a small fortune -,male
DAGGETT, What is this?,male
DAGGETT, What are you?,male
DAGGETT, You are true evil...,male
WAYNE, Is that what they say about me?,male
WAYNE, That’s a beautiful necklace. Reminds me of the one that belonged to my mother. It can’t be the same one - her pearls are in this safe - - which the manufacturer clearly explained is uncrackable.,male
WAYNE, I’m afraid I can’t let you take those.,male
WAYNE, She’s very persistent.,male
WAYNE, I wasn’t.,male
WAYNE, Examining print dust. We’ve been robbed.,male
WAYNE, She took the pearls. Tracking device and all.,male
WAYNE," One of the maids, perhaps you should stop letting them in this side of the house.",male
WAYNE, I’m not. She was.,male
WAYNE, Just trying to find out more about our jewel thief. I ran her prints from the photos she handled - - but she was wearing someone else’s fingerprints. She’s good.,male
WAYNE," We do, so I cross-referenced the address she went back to with police data on high-end B-and-E’s... Selina Kyle. The databases are full of close calls, tips from fences...",male
WAYNE," She’s good, but the ground is shrinking beneath her feet.",male
WAYNE, She won’t. She likes them too much. And they weren’t what she was after.,male
WAYNE," My fingerprints. There was printer toner mixed with graphite on the safe. Gives you a good pull, and it’s untraceable.",male
WAYNE, Now you’re trying to set me up with a jewel thief?,male
WAYNE, There’s nothing out there for me.,male
WAYNE," I did find someone, Alfred.",male
WAYNE," What can I do for you, officer?",male
WAYNE, I’m sorry to hear that,male
WAYNE, Shouldn’t you be telling this to your superior officers?,male
WAYNE, If Commissioner Gordon thinks I’m the Batman he must be in a bad way -,male
WAYNE, Why did you say your boys’ home used to be funded by the Wayne Foundation?,male
WAYNE, You checked that name? ’Bane’ -,male
WAYNE, Now Daggett’s brought them here?,male
WAYNE, Why did the Wayne Foundation stop funding boys’ homes in the city?,male
WAYNE," Time to talk to Mr. Fox, I think.",male
WAYNE, No. Do we still have any cars around the place?,male
WAYNE, And I need an appointment at the hospital. About my leg.,male
WAYNE, Whichever one Jim Gordon’s in. less excited by this part of the request.,male
WAYNE, I see you haven’t lost your sense of humor...even if you have lost most of my money.,male
WAYNE, Even with -,male
WAYNE, What’re my options?,male
WAYNE," I can’t, Lucius.",male
WAYNE," You too, Lucius?",male
WAYNE, I’ll think it over.,male
WAYNE," No, why?",male
WAYNE, I retired.,male
WAYNE, I figured you’d have shut this place down.,male
WAYNE, But all this new stuff?,male
WAYNE, Why?,male
WAYNE, It’s fine the use it gets these days.,male
WAYNE, Now you’re just showing off.,male
WAYNE, What’s it called?,male
WAYNE, What’s wrong with that?,male
WAYNE, Better mind?,male
WAYNE," I told you. I retired, Lucius.",male
WAYNE, That’s good -,male
WAYNE, The Batman wasn’t needed anymore. We won.,male
WAYNE, What if he doesn’t exist anymore?,male
WAYNE, I’m not sure if my assistant put me on the guest list -,male
WAYNE," Miss Tate, isn’t it?",male
WAYNE," True. Proceeds go to the big fat spread, not the cause. It’s not about charity, it’s about feeding the ego of whichever society hag laid it on.",male
WAYNE, Oh.,male
WAYNE, That’s very generous of you.,male
WAYNE, Sometimes the investment doesn’t pay off. Sorry.,male
WAYNE," Mind if I cut in? turns, annoyed - Wayne hands him his the waist. She glares at him.",male
WAYNE, You don’t seem very happy to see me.,male
WAYNE, Felt like some fresh air.,male
WAYNE, I have a powerful friend who deals with this kind of thing. (Admires her cat ears.) Brazen costume for a cat burglar.,male
WAYNE," Bruce Wayne, eccentric billionaire. Who’s your date?",male
WAYNE, It’s pronounced ’Ibeetha’. You wouldn’t want these folks realizing you’re a crook not a social climber.,male
WAYNE, I doubt you care what anyone in this room thinks about you.,male
WAYNE," Well, Selina Kyle, I know you came here from your walk-up in Old Town - modest place for a master jewel thief. Which means either you’re saving for your retirement - or you’re in deep with the wrong people.",male
WAYNE," Actually, I was born in the Regency Room.",male
WAYNE, Start fresh.,male
WAYNE, Or our achievements.,male
WAYNE, You think that justifies stealing?,male
WAYNE, Robin Hood?,male
WAYNE, Maybe you’re assuming too much.,male
WAYNE, Ouch.,male
WAYNE, Sounds like you’re looking forward to it.,male
WAYNE, These pearls do look better on you then they did in my safe... But I still can’t let you keep them.,male
WAYNE, Not likely.,male
WAYNE, I must have lost my ticket -,male
WAYNE, My wife?,male
WAYNE, Remember those ’unusual requests’ I used to make?,male
WAYNE, You start with the good limb so it learns your optimum muscle patterns. Now we tighten it up.,male
WAYNE," You’re welcome to try it, Alfred.",male
WAYNE, Not bad - Not bad at all.,male
WAYNE, I’m all ears.,male
WAYNE, Bane.,male
WAYNE, Born in a prison?,male
WAYNE, Bane was a member of the League of Shadows.,male
WAYNE, I didn’t realize I was known for trifling with criminals.,male
WAYNE, Which was?,male
WAYNE," If this man is all the things you say he is, then this city needs me.",male
WAYNE," I tried helping as Bruce Wayne, Alfred. And I failed.",male
WAYNE, That’s what you’re afraid of - that if I go back out there I’ll fail.,male
WAYNE, We bought all the neighbors.,male
WAYNE, I retrieved this.,male
WAYNE, They don’t have the tools to analyze it.,male
WAYNE, One man’s tool is another man’s weapon.,male
WAYNE, Alfred. Enough. The police weren’t getting it done -,male
WAYNE, Perhaps you’re upset you were wrong.,male
WAYNE, You thought I didn’t have it in me.,male
WAYNE," I’ll fight harder, I always have.",male
WAYNE, You said he was excommunicated.,male
WAYNE," Ra’s al Ghul was the League of Shadows. And I beat him. Bane’s just a mercenary, and we have to find out what he’s up to.",male
WAYNE, Trades of some kind. Coded...,male
WAYNE, Mine. Courtesy of Selina Kyle. Get this to Fox - he can crack the code and tell us what trades they were executing.,male
WAYNE, You’d abandon me?,male
WAYNE, Rachel died knowing we’d decided to be together. That was my life beyond this cave and I can’t just move on. She didn’t. She couldn’t.,male
WAYNE," She was, I can’t change that -",male
WAYNE, Why would you say such a thing?,male
WAYNE, You’re lying.,male
WAYNE, You’re lying!,male
WAYNE, How dare you use Rachel to stop me!,male
WAYNE," Sorry?! You expect to destroy my world, then shake hands?!",male
WAYNE," What does it mean, Alfred?!",male
WAYNE," Goodbye, Alfred.",male
WAYNE, Alfred?,male
WAYNE, Yes. Could you decode the trades on that drive?,male
WAYNE, The weapons - we can’t let Daggett get his hands on Applied Sciences -,male
WAYNE, Miranda Tate. We need to convince the board to get behind her. Let’s show her the reactor -,male
WAYNE, I thought you might like to see what your investment built.,male
WAYNE, If it worked. It doesn’t.,male
WAYNE," Ignition, yes. But no chain reaction.",male
WAYNE," Miranda, if it were operational, the danger to Gotham would be too great.",male
WAYNE, Someone else will work out what Dr. Pavel did. Someone else will figure out how to turn this power source into a nuclear weapon. I need you to take control of Wayne Enterprises and this reactor.,male
WAYNE, Nothing. Until we can find a way to guarantee its safety.,male
WAYNE, Decommission it. Flood it.,male
WAYNE, If the world’s not ready. Yes.,male
WAYNE, I’m trusting you.,male
WAYNE," I could’ve flooded this chamber any time in the last three years. I’m choosing to trust you, Miranda, and that’s not the easiest thing for me. Please.",male
WAYNE, I understand. Ladies and gentlemen.,male
WAYNE, To protect the people closest to me.,male
WAYNE," There are always people you care about. You just don’t realize how much until they’re gone. (Collects himself.) The idea was to be a symbol. Batman could be anybody, that was the point.",male
WAYNE, Not everybody agrees.,male
WAYNE, Got anything on Bane’s whereabouts?,male
WAYNE, You know what? Drop me in Old Town...,male
WAYNE, Don’t wait. I’ll get a cab.,male
WAYNE," Actually, no.",male
WAYNE," Actually, they’re letting me keep the house.",male
WAYNE, Vacation?,male
WAYNE, My powerful friend hopes to change your mind about leaving.,male
WAYNE, By giving you what you want.,male
WAYNE, He says it does. He wants Tonight.,male
WAYNE, He needs to find Bane. He you’d know how.,male
WAYNE," No, you’re not.",male
WAYNE, No. I’m on my own now.,male
WAYNE, Never needed them...,male
WAYNE, Hope you don’t like me for your money.,male
WAYNE, He left. Taking everything.,male
WAYNE, I think my power’s been shut off.,male
WAYNE, You’re pretty good at that.,male
WAYNE, I assumed your family was wealthy.,male
WAYNE," I’ve made a few myself. to him, tracing the scars across his",male
WAYNE, Someday perhaps. Not tonight. him close. He kisses her. They fold into each,male
WAYNE, Why didn’t you just kill me?,male
WAYNE, You’re a torturer...,male
WAYNE, Where am I?,male
WAYNE, Do it for the pleasure.,male
WAYNE, Has anyone made it?,male
WAYNE, What does he say?,male
WAYNE, Bane.,male
WAYNE, Don’t.,male
WAYNE, How would he know?,male
WAYNE, How?,male
WAYNE, Is Bane the child you spoke of? Was he born here?,male
WAYNE, How -?,male
WAYNE, I watched you die.,male
WAYNE, You were the mercenary. Bane is your child. Your heir.,male
WAYNE, No...,male
WAYNE, NO!,male
WAYNE, I’m not meant to die in here.,male
WAYNE, You told me a child did it...,male
WAYNE, My body makes the jump.,male
WAYNE, My soul’s as ready to escape as my body.,male
WAYNE, I’m not afraid. I’m angry.,male
WAYNE, Why?,male
WAYNE, I do fear death. I fear dying in here while my city burns with no one there to save it.,male
WAYNE, How?,male
WAYNE, Not yet.,male
WAYNE, It wouldn’t suit you. I need your help.,male
WAYNE, For this. The ’Clean Slate’.,male
WAYNE," I admit I felt a little let down. But I still think there’s more to you. In fact, I think for you - (indicates USB) this isn’t a tool, it’s an escape route. You want to disappear. Start fresh. at him. Takes the drive, staring at",male
WAYNE, I can give you a way off. Once you’ve gotten me to Lucius Fox. I need you to find out where they’re holding him. Then take me in.,male
WAYNE, To save this city.,male
WAYNE, Maybe you do. But tomorrow that bomb’s going off.,male
WAYNE, I’m trying. But I need Fox.,male
WAYNE, How long until the core ignites?,male
WAYNE, Unless we can connect it to the reactor.,male
WAYNE, Not tonight. I’m sorry.,male
WAYNE, Tonight I need you.,male
WAYNE, To get me back in the game.,male
WAYNE, I won’t forget about you.,male
WAYNE, Any move I make against Bane or the bomb - the triggerman sets it off.,male
WAYNE, Could you block it?,male
WAYNE, Even without the autopilot...,male
BLAKE," I didn’t want to bother you up here, but they’re looking for you.",male
BLAKE, Congressman Gilly’s wife’s been calling. He hasn’t made it home from the Wayne Foundation event.,male
BLAKE," Sir, I’ve been a cop for a year and I’ve only logged half a dozen arrests. When you and Dent cleaned the streets you cleaned ’em good. Pretty soon we’ll be chasing overdue library books.",male
BLAKE, But here you are. Like we’re still at war...,male
BLAKE, Or instinct.,male
BLAKE," Blake, sir.",male
BLAKE," It’s that night. This night, eight years ago. The night Dent died.",male
BLAKE," The last confirmed sighting of the Batman. He murders those people, takes out two SWAT teams, breaks Dent’s neck...then just vanishes?",male
BLAKE, Don’t you want to know who we was?,male
BLAKE, Name’s Jimmy. He’s at St. Swithin’s. (Off look.) The boys home where I...I coach some ball.,male
BLAKE, Why?,male
BLAKE, The Wayne Foundation gives money for that -,male
BLAKE," He has a brother here, right?",male
BLAKE," I’d like to, if that’s okay.",male
BLAKE, I’m sorry.,male
BLAKE, What was he doing in the tunnels?,male
BLAKE, What kind of work are you gonna find in the sewers?,male
BLAKE," It’s okay, Miss. It’s okay.",male
BLAKE," I’ve got the Congressman - bullet to the leg, but he’s okay.",male
BLAKE, They went down there?,male
BLAKE," Come on, we gotta get down there -",male
BLAKE, Gas? This is a sewer!,male
BLAKE," We know what’s down there, sir. The Police Commissioner!",male
BLAKE, I need to see Brice Wayne.,male
BLAKE," And if I go get a warrant, in the investigation of Harvey Dent’s murder? Would that still count as unscheduled?",male
